animal,sex,phenotype,stim type,lux,day,trial,protocol,exclusion rationale,shadowON-abs,run-abs,hide-abs,freeze-start-abs,freeze-stop-abs,shadowOFF-abs,defensive strategy
m1015,M,eYFP,tonic,16,1,1,new frame - water ad libitum,,398.55,401.55,402.3,,,404.5,escape
m1015,M,eYFP,tonic,16,1,2,new frame - water ad libitum,,557.7,560.85,561.5,,,563.7,escape
m1015,M,eYFP,tonic,16,1,3,new frame - water ad libitum,,751.25,754.1,754.65,,,757.25,escape
m1015,M,eYFP,tonic,16,1,4,new frame - water ad libitum,,832.3,834.2,834.85,,,838.3,escape
m1015,M,eYFP,tonic,16,1,5,new frame - water ad libitum,,892.15,894.8,895.45,,,898.15,escape
m1017,F,eYFP,tonic,12,1,1,new frame - water ad libitum,,316.8,320.65,321.4,,,322.8,escape
m1017,F,eYFP,tonic,12,1,2,new frame - water ad libitum,,424.5,427.75,428.35,,,430.45,escape
m1017,F,eYFP,tonic,12,1,3,new frame - water ad libitum,,517.45,521.15,521.85,,,523.45,escape
m1017,F,eYFP,tonic,12,1,4,new frame - water ad libitum,,721.35,724.25,724.95,,,727.3,escape
m1017,F,eYFP,tonic,12,1,5,new frame - water ad libitum,,858.7,862.4,862.95,,,864.7,escape
m1018,M,ChR2,tonic,8,1,1,new frame - water ad libitum,,348.7,352.5,n/a,353.25,370.15,354.7,panic
m1018,M,ChR2,tonic,8,1,2,new frame - water ad libitum,,457.3,462.5,463.15,,,463.3,escape
m1018,M,ChR2,tonic,8,1,3,new frame - water ad libitum,,568,571.25,572.15,,,573.95,escape
m1018,M,ChR2,tonic,8,1,4,new frame - water ad libitum,,761.9,766.7,n/a,767.55,771.15,768.9,panic
m1018,M,ChR2,tonic,8,1,5,new frame - water ad libitum,,870.3,873.3,874.05,,,876.3,escape
m1022,F,ChR2,tonic,8,1,1,new frame - water ad libitum,,458.25,461.9,462.75,,,464.25,escape
m1022,F,ChR2,tonic,8,1,2,new frame - water ad libitum,,521.7,n/a,n/a,522.35,548.2,527.7,freeze
m1022,F,ChR2,tonic,8,1,3,new frame - water ad libitum,,657.15,660.3,661.25,,,663.15,escape
m1022,F,ChR2,tonic,8,1,4,new frame - water ad libitum,,735.2,n/a,n/a,737.8,740.5,741.2,freeze
m1022,F,ChR2,tonic,8,1,5,new frame - water ad libitum,,846.95,n/a,n/a,849.9,863.2,852.95,freeze